time,value
1608245100.0,18.1
1608246000.0,18.3
1608246900.0,18.4
1608247800.0,18.6
1608248700.0,18.7
1608249600.0,18.6
1608250500.0,18.7
1608251400.0,18.8
1608252300.0,18.9
1608253200.0,18.9
1608254100.0,18.9
1608255000.0,18.9
1608255900.0,18.9
1608256800.0,18.8
1608257700.0,18.9
1608258600.0,18.9
1608259500.0,18.9
1608260400.0,18.9
1608261300.0,18.8
1608262200.0,18.7
1608263100.0,18.5
1608264000.0,18.6
1608264900.0,19.4
1608265800.0,19.3
1608266700.0,19.1
1608267600.0,19.1
1608268500.0,19.2
1608269400.0,18.8
1608270300.0,18.7
1608271200.0,18.5
1608272100.0,18.3
1608273000.0,18.2
1608273900.0,18
1608274800.0,17.7
1608275700.0,17.9
1608276600.0,17.7
1608277500.0,17.6
1608278400.0,17.4
1608279300.0,17.8
1608280200.0,17.6
1608281100.0,17.4
1608282000.0,17.3
1608282900.0,17.9
1608283800.0,17.6
1608284700.0,17.5
1608285600.0,17.5
1608286500.0,17.6
1608287400.0,17.5
1608288300.0,17.6
1608289200.0,17.6
1608290100.0,17.7
1608291000.0,17.8
1608291900.0,17.5
1608292800.0,17.3
1608293700.0,17.5
1608294600.0,17.8
1608295500.0,17.6
1608296400.0,17.3
1608297300.0,17.4
1608298200.0,17.7
1608299100.0,17.8
1608300000.0,17.6
1608300900.0,18
1608301800.0,18
1608302700.0,17.7
1608303600.0,17.6
1608304500.0,17.9
1608305400.0,18.1
1608306300.0,17.9
1608307200.0,17.8
1608308100.0,17.9
1608309000.0,17.9
1608309900.0,17.6
1608310800.0,17.9
1608311700.0,17.9
1608312600.0,17.6
1608313500.0,17.6
1608314400.0,17.5
1608315300.0,17.3
1608316200.0,17.2
1608317100.0,17.3
1608318000.0,17.1
1608318900.0,17.2
1608319800.0,17.1
1608320700.0,17.5
1608321600.0,17.4
1608322500.0,17.8
1608323400.0,17.6
1608324300.0,18
1608325200.0,18
1608326100.0,17.8
1608327000.0,17.9
1608327900.0,18.1
1608328800.0,18.2
1608329700.0,17.6
1608330600.0,17.6
1608331500.0,18
1608332400.0,18.2
1608333300.0,18.2
1608334200.0,18.2
1608335100.0,18.3
1608336000.0,18
1608336900.0,18.5
1608337800.0,18.5
1608338700.0,18.6
1608339600.0,18.7
1608340500.0,18.7
1608341400.0,18.7
1608342300.0,18.8
1608343200.0,18.7
1608344100.0,18.7
1608345000.0,18.7
1608345900.0,18.7
1608346800.0,18.6
1608347700.0,18.6
1608348600.0,18.6
1608349500.0,18.5
1608350400.0,18.4
1608351300.0,19.4
1608352200.0,19.5
1608353100.0,19.5
1608354000.0,19.4
1608354900.0,19.1
1608355800.0,18.9
1608356700.0,18.8
1608357600.0,18.6
1608358500.0,18.3
1608359400.0,18.1
1608360300.0,18
1608361200.0,17.6
1608362100.0,17.5
1608363000.0,17
1608363900.0,16.8
1608364800.0,16.5
1608365700.0,16.4
1608366600.0,16.3
1608367500.0,16
1608368400.0,16.4
1608369300.0,16.4
1608370200.0,16.5
1608371100.0,16.4
1608372000.0,16.3
1608372900.0,16.3
1608373800.0,16.9
1608374700.0,16.6
1608375600.0,16.6
1608376500.0,16.9
1608377400.0,17
1608378300.0,17
1608379200.0,16.8
1608380100.0,16.9
1608381000.0,16.9
1608381900.0,16.9
1608382800.0,17
1608383700.0,17.1
1608384600.0,17.5
1608385500.0,17.4
1608386400.0,17.4
1608387300.0,17.5
1608388200.0,17.3
1608389100.0,17.2
1608390000.0,17
1608390900.0,16.6
1608391800.0,16.7
1608392700.0,16.8
1608393600.0,16.8
1608394500.0,16.8
1608395400.0,16.6
1608396300.0,16.8
1608397200.0,16.6
1608398100.0,16.8
1608399000.0,16.4
1608399900.0,16.4
1608400800.0,16.3
1608401700.0,16.7
1608402600.0,16.9
1608403500.0,17
1608404400.0,16.8
1608405300.0,17.2
1608406200.0,17.1
1608407100.0,17.4
1608408000.0,17.3
1608408900.0,17.6
1608409800.0,17.7
1608410700.0,17.9
1608411600.0,17.6
1608412500.0,17.9
1608413400.0,17.9
1608414300.0,18.2
1608415200.0,18.2
1608416100.0,17.7
1608417000.0,17.4
1608417900.0,18
1608418800.0,18.1
1608419700.0,18
1608420600.0,18.1
1608421500.0,18.4
1608422400.0,18.6
1608423300.0,18.6
1608424200.0,18.7
1608425100.0,18.8
1608426000.0,18.8
1608426900.0,18.8
1608427800.0,18.9
1608428700.0,18.9
1608429600.0,18.8
1608430500.0,18.9
1608431400.0,18.9
1608432300.0,18.9
1608433200.0,18.9
1608434100.0,18.9
1608435000.0,18.8
1608435900.0,18.8
1608436800.0,18.7
1608437700.0,19.6
1608438600.0,19.5
1608439500.0,19.5
1608440400.0,19.4
1608441300.0,19.3
1608442200.0,19.3
1608443100.0,19
1608444000.0,19
1608444900.0,18.7
1608445800.0,18.8
1608446700.0,18.1
1608447600.0,18
1608448500.0,17.6
1608449400.0,17.7
1608450300.0,17.4
1608451200.0,17.1
1608452100.0,17.4
1608453000.0,17.8
1608453900.0,18.1
1608454800.0,17.7
1608455700.0,17.8
1608456600.0,18.1
1608457500.0,18
1608458400.0,17.8
1608459300.0,18.2
1608460200.0,18.2
1608461100.0,18.1
1608462000.0,17.8
1608462900.0,17.5
1608463800.0,17.8
1608464700.0,17.9
1608465600.0,17.5
1608466500.0,17.9
1608467400.0,18
1608468300.0,17.6
1608469200.0,17.7
1608470100.0,17.9
1608471000.0,18.2
1608471900.0,18.2
1608472800.0,18
1608473700.0,18.3
1608474600.0,18.5
1608475500.0,18.2
1608476400.0,17.9
1608477300.0,18.1
1608478200.0,18.1
1608479100.0,18
1608480000.0,17.9
1608480900.0,17.8
1608481800.0,17.4
1608482700.0,17.5
1608483600.0,17.3
1608484500.0,16.9
1608485400.0,16.7
1608486300.0,16.8
1608487200.0,16.6
1608488100.0,16.7
1608489000.0,17.1
1608489900.0,16.9
1608490800.0,17.1
1608491700.0,17.6
1608492600.0,17.8
1608493500.0,17.6
1608494400.0,17.5
1608495300.0,18
1608496200.0,17.9
1608497100.0,18
1608498000.0,17.8
1608498900.0,17.8
1608499800.0,18.1
1608500700.0,18.5
1608501600.0,18.4
1608502500.0,17.9
1608503400.0,18
1608504300.0,18.1
1608505200.0,17.9
1608678000.0,18.1
1608678900.0,18.4
1608679800.0,18.5
1608680700.0,18.5
1608681600.0,18.6
1608682500.0,18.6
1608683400.0,18.5
1608684300.0,18.7
1608685200.0,18.7
1608686100.0,18.7
1608687000.0,18.7
1608687900.0,18.6
1608688800.0,18.7
1608689700.0,18.7
1608690600.0,18.7
1608691500.0,18.7
1608692400.0,18.7
1608693300.0,18.6
1608694200.0,18.5
1608695100.0,18.4
1608696000.0,18.6
1608696900.0,19.2
1608697800.0,19.3
1608698700.0,19.3
1608699600.0,19
1608700500.0,18.8
1608701400.0,18.4
1608702300.0,18.3
1608703200.0,18.1
1608704100.0,17.9
1608705000.0,17.9
1608705900.0,17.8
1608706800.0,17.3
1608707700.0,17.3
1608708600.0,17
1608709500.0,16.7
1608710400.0,16.5
1608711300.0,16.4
1608712200.0,16.7
1608713100.0,16.7
1608714000.0,16.5
1608714900.0,16.2
1608715800.0,15.7
1608716700.0,15.9
1608717600.0,16.3
1608718500.0,16.5
1608719400.0,16.6
1608720300.0,16.7
1608721200.0,16.3
1608722100.0,16.2
1608723000.0,16.4
1608723900.0,16.1
1608724800.0,16.3
1608725700.0,16.5
1608726600.0,16.6
1608727500.0,16.5
1608728400.0,8.7
1608729300.0,0.3
1608730200.0,5.5
1608731100.0,15.7
1608732000.0,15.7
1608732900.0,15.8
1608733800.0,16.2
1608734700.0,16.2
1608735600.0,16.7
1608736500.0,16.6
1608737400.0,16.4
1608738300.0,16.5
1608739200.0,16.5
1608740100.0,16.5
1608741000.0,16.5
1608741900.0,16.2
1608742800.0,16.4
1608743700.0,16.5
1608744600.0,16.8
1608745500.0,16.5
1608746400.0,16.2
1608747300.0,16.3
1608748200.0,16.6
1608749100.0,16.9
1608750000.0,16.5
1608750900.0,16.6
1608751800.0,16.9
1608752700.0,17.3
1608753600.0,17.1
1608754500.0,17.2
1608755400.0,16.9
1608756300.0,17.3
1608757200.0,17.2
1608758100.0,17.2
1608759000.0,17.1
1608759900.0,17.3
1608760800.0,17.3
1608761700.0,16.8
1608762600.0,16.9
1608763500.0,17.4
1608764400.0,17.7
1608765300.0,18
1608766200.0,18.1
1608767100.0,18.4
1608768000.0,18.5
1608768900.0,18.5
1608769800.0,18.6
1608770700.0,18.7
1608771600.0,18.7
1608772500.0,18.7
1608773400.0,18.8
1608774300.0,18.8
1608775200.0,18.7
1608776100.0,18.7
1608777000.0,18.8
1608777900.0,18.8
1608778800.0,18.7
1608779700.0,18.6
1608780600.0,18.6
1608781500.0,18.5
1608782400.0,18.4
1608783300.0,19.3
1608784200.0,19.5
1608785100.0,19.3
1608786000.0,19
1608786900.0,18.9
1608787800.0,18.7
1608788700.0,18.3
1608789600.0,18.3
1608790500.0,17.9
1608791400.0,17.6
1608792300.0,17.6
1608793200.0,17.1
1608794100.0,16.9
1608795000.0,16.2
1608795900.0,15.9
1608796800.0,15.5
1608797700.0,16
1608798600.0,16.5
1608799500.0,16.1
1608800400.0,16.1
1608801300.0,16.6
1608802200.0,16.7
1608803100.0,17
1608804000.0,16.8
1608804900.0,16.9
1608805800.0,17
1608806700.0,16.8
1608807600.0,16.7
1608808500.0,16.5
1608809400.0,16.2
1608810300.0,16.8
1608811200.0,16.4
1608812100.0,16.4
1608813000.0,16.4
1608813900.0,16.4
1608814800.0,16.2
1608815700.0,16.4
1608816600.0,16.6
1608817500.0,16.4
1608818400.0,16.2
1608819300.0,16.3
1608820200.0,16.1
1608821100.0,16.3
1608822000.0,15.8
1608822900.0,16
1608823800.0,16
1608824700.0,16
1608825600.0,15.9
1608826500.0,15.7
1608827400.0,15.7
1608828300.0,16.1
1608829200.0,16.1
1608830100.0,15.9
1608831000.0,15.8
1608831900.0,15.7
1608832800.0,16.2
1608833700.0,16.1
1608834600.0,16.1
1608835500.0,15.9
1608836400.0,15.9
1608837300.0,15.9
1608838200.0,16
1608839100.0,16.8
1608840000.0,16.5
1608840900.0,16.8
1608841800.0,16.5
1608842700.0,16.9
1608843600.0,16.9
1608844500.0,16.6
1608845400.0,16.7
1608846300.0,17
1608847200.0,16.8
1608848100.0,16.3
1608849000.0,16.7
1608849900.0,16.8
1608850800.0,17.4
1608851700.0,17.6
1608852600.0,17.9
1608853500.0,18.3
1608854400.0,18.2
1608855300.0,18.3
1608856200.0,18.4
1608857100.0,18.4
1608858000.0,18.4
1608858900.0,18.5
1608859800.0,18.4
1608860700.0,18.6
1608861600.0,18.7
1608862500.0,18.7
1608863400.0,18.7
1608864300.0,18.7
1608865200.0,18.6
1608866100.0,18.6
1608867000.0,18.6
1608867900.0,18.5
1608868800.0,18.5
1608869700.0,19.5
1608870600.0,19.4
1608871500.0,19.2
1608872400.0,19.2
1608873300.0,19.2
1608874200.0,19.1
1608875100.0,18.9
1608876000.0,19
1608876900.0,18.8
1608877800.0,18.5
1608878700.0,18.3
1608879600.0,17.9
1608880500.0,17.9
1608881400.0,18.1
1608882300.0,17.7
1608883200.0,17.7
1608884100.0,17.5
1608885000.0,17.6
1608885900.0,17.7
1608886800.0,17.9
1608887700.0,17.9
1608888600.0,18
1608889500.0,18.1
1608890400.0,18
1608891300.0,18.1
1608892200.0,18
1608893100.0,18.2
1608894000.0,18.1
1608894900.0,18.2
1608895800.0,18.3
1608896700.0,18.4
1608897600.0,18.3
1608898500.0,18.5
1608899400.0,18.7
1608900300.0,19
1608901200.0,18.7
1608902100.0,18.8
1608903000.0,19
1608903900.0,19
1608904800.0,19
1608905700.0,18.9
1608906600.0,18.9
1608907500.0,19
1608908400.0,19
1608909300.0,19.1
1608910200.0,18.9
1608911100.0,18.9
1608912000.0,18.8
1608912900.0,18.8
1608913800.0,18.9
1608914700.0,19.1
1608915600.0,18.9
1608916500.0,18.9
1608917400.0,18.7
1608918300.0,18.5
1608919200.0,18.7
1608920100.0,18.6
1608921000.0,18.7
1608921900.0,18.6
1608922800.0,18.6
1608923700.0,18.4
1608924600.0,18.3
1608925500.0,18.9
1608937200.0,18.2
1608938100.0,18.3
1608939000.0,18.4
1608939900.0,18.4
1608940800.0,18.5
1608941700.0,18.5
1608942600.0,18.6
1608943500.0,18.6
1608944400.0,18.7
1608945300.0,18.7
1608946200.0,18.8
1608947100.0,18.7
1608948000.0,18.8
1608948900.0,18.8
1608949800.0,18.8
1608950700.0,18.8
1608951600.0,18.8
1608952500.0,18.8
1608953400.0,18.8
1608954300.0,18.7
1608955200.0,19
1608956100.0,19.8
1608957000.0,20
1608957900.0,19.9
1608958800.0,19.8
1608959700.0,19.7
1608960600.0,19.5
1608961500.0,19.5
1608962400.0,19.4
1608963300.0,19.4
1608964200.0,19.3
1608965100.0,19.1
1608966000.0,19
1608966900.0,18.8
1608967800.0,18.5
1608968700.0,18.4
1608969600.0,18.2
1608970500.0,18
1608971400.0,17.9
1608972300.0,17.8
1608973200.0,18.1
1608974100.0,18.2
1608975000.0,18.1
1608975900.0,18.2
1608976800.0,18.1
1608977700.0,17.9
1608978600.0,17.9
1608979500.0,18
1608980400.0,18
1608981300.0,17.9
1608982200.0,18.1
1608983100.0,18.1
1608984000.0,18.4
1608984900.0,18.6
1608985800.0,18.8
1608986700.0,18.7
1608987600.0,18.6
1608988500.0,18.9
1608989400.0,18.9
1608990300.0,19.1
1608991200.0,18.9
1608992100.0,18.9
1608993000.0,19
1608993900.0,19
1608994800.0,18.8
1608995700.0,18.7
1608996600.0,18.7
1608997500.0,18.7
1608998400.0,18.6
1608999300.0,19
1609000200.0,18.8
1609001100.0,18.8
1609002000.0,18.9
1609002900.0,18.6
1609003800.0,18.8
1609004700.0,18.8
1609005600.0,18.8
1609006500.0,18.8
1609007400.0,19
1609008300.0,18.9
1609009200.0,18.7
1609010100.0,18.6
1609011000.0,18.6
1609011900.0,18.8
1609012800.0,19
1609013700.0,19
1609014600.0,18.9
1609015500.0,19
1609016400.0,18.9
1609017300.0,18.6
1609018200.0,18.7
1609019100.0,18.8
1609020000.0,18.6
1609020900.0,18.2
1609021800.0,17.9
1609022700.0,18.5
1609023600.0,18.7
1609024500.0,18.6
1609025400.0,18.7
1609026300.0,19
1609027200.0,19
1609028100.0,19
1609029000.0,19.1
1609029900.0,19.1
1609030800.0,19.2
1609031700.0,19.3
1609032600.0,19.2
1609033500.0,19.2
1609034400.0,19.1
1609035300.0,19.2
1609036200.0,19.3
1609037100.0,19.2
1609038000.0,19.2
1609038900.0,19.2
1609039800.0,19
1609040700.0,19.1
1609041600.0,19
1609042500.0,20.1
1609043400.0,20.1
1609044300.0,20.2
1609045200.0,20.1
1609046100.0,19.9
1609047000.0,19.9
1609047900.0,19.7
1609048800.0,19.6
1609049700.0,19.5
1609050600.0,19.2
1609051500.0,19.2
1609052400.0,18.8
1609053300.0,18.4
1609054200.0,18.3
1609055100.0,18.1
1609056000.0,17.8
1609056900.0,17.9
1609057800.0,18.2
1609058700.0,18.1
1609059600.0,18.1
1609060500.0,18
1609061400.0,18.2
1609062300.0,18.1
1609063200.0,18.2
1609064100.0,18.3
1609065000.0,17.9
1609065900.0,18
1609066800.0,17.9
1609067700.0,18
1609068600.0,18.1
1609069500.0,18.1
1609070400.0,18
1609071300.0,17.9
1609072200.0,18.2
